Data Type:                         ULM Mobile Sounding Data/Ascending
Project ID:                        VORTEX-SE_2017
Release Site Type/Site ID:         Hollywood, AL
Release Location (lon,lat,alt):    085 57.40'W, 34 43.01'N, -85.957, 34.717, 189.0
UTC Release Time (y,m,d,h,m,s):    2017, 04, 30, 17:54:00
Radiosonde Type:                   iMet-1-ABxn
Ground Station Software:           iMetOS-II software version 03.90.0C.
/
/
/
/
Nominal Release Time (y,m,d,h,m,s):2017, 04, 30, 17:54:00
 Time  Press  Temp  Dewpt  RH    Ucmp   Vcmp   spd   dir   Wcmp     Lon     Lat   Ele   MixR   Alt    Qp   Qt   Qrh  Qu   Qv   QdZ
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg     deg   deg   g/kg    m    code code code code code code
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
 451.0  785.4  10.1   0.3  50.2    7.6   24.9  26.0 197.0   4.7  -85.952  34.780 999.0 999.0  2189.6  1.0  1.0  1.0  1.0  1.0 99.0
 456.0  783.2  10.4  -1.0  44.7    7.5   24.7  25.8 197.0   4.7  -85.952  34.781 999.0 999.0  2213.1  1.0  1.0  1.0  1.0  1.0 99.0
 461.0  781.0  10.6  -1.1  43.9    7.5   24.6  25.7 197.0   4.6  -85.951  34.783 999.0 999.0  2236.3  1.0  1.0  1.0  1.0  1.0 99.0
 466.0  778.9  11.0  -1.1  42.7    7.5   24.5  25.6 197.0   4.5  -85.951  34.784 999.0 999.0  2259.0  1.0  1.0  1.0  1.0  1.0 99.0
 471.0  776.8  10.9  -0.8  43.6    7.4   24.2  25.3 197.0   4.5  -85.950  34.785 999.0 999.0  2281.4  1.0  1.0  1.0  1.0  1.0 99.0
 476.0  774.8  10.8  -0.8  44.0    7.8   24.0  25.2 198.0   4.3  -85.950  34.786 999.0 999.0  2303.0  1.0  1.0  1.0  1.0  1.0 99.0
 481.0  772.9  10.7  -0.6  45.4    7.7   23.7  24.9 198.0   4.1  -85.950  34.787 999.0 999.0  2323.8  1.0  1.0  1.0  1.0  1.0 99.0
 486.0  771.0  10.5  -0.3  46.6    8.0   23.2  24.5 199.0   4.0  -85.949  34.788 999.0 999.0  2344.0  1.0  1.0  1.0  1.0  1.0 99.0
 491.0  769.1  10.5   0.9  50.9    7.9   23.0  24.3 199.0   4.0  -85.949  34.789 999.0 999.0  2363.9  1.0  1.0  1.0  1.0  1.0 99.0
 496.0  767.3  10.3   1.1  52.6    8.7   22.7  24.3 201.0   3.9  -85.948  34.790 999.0 999.0  2383.5  1.0  1.0  1.0  1.0  1.0 99.0
 501.0  765.5  10.1   1.3  54.0    8.6   22.5  24.1 201.0   3.9  -85.948  34.791 999.0 999.0  2403.0  1.0  1.0  1.0  1.0  1.0 99.0
 506.0  763.7   9.9   1.4  55.2    9.0   22.3  24.0 202.0   4.0  -85.947  34.792 999.0 999.0  2422.9  1.0  1.0  1.0  1.0  1.0 99.0
 511.0  761.8   9.7   1.8  57.3    8.9   22.0  23.7 202.0   4.1  -85.947  34.793 999.0 999.0  2443.3  1.0  1.0  1.0  1.0  1.0 99.0
 516.0  759.9   9.6   2.5  60.8    9.2   21.7  23.6 203.0   4.2  -85.946  34.794 999.0 999.0  2464.2  1.0  1.0  1.0  1.0  1.0 99.0
 521.0  757.9   9.3   2.8  63.7    9.3   21.8  23.7 203.0   4.3  -85.946  34.795 999.0 999.0  2485.7  1.0  1.0  1.0  1.0  1.0 99.0
 526.0  755.9   9.2   3.4  66.9    9.1   21.5  23.4 203.0   4.4  -85.945  34.796 999.0 999.0  2507.5  1.0  1.0  1.0  1.0  1.0 99.0
 531.0  753.9   9.1   3.7  68.6    9.5   21.3  23.3 204.0   4.5  -85.945  34.797 999.0 999.0  2529.9  1.0  1.0  1.0  1.0  1.0 99.0
 536.0  751.8   9.1   3.2  66.0    9.5   21.4  23.4 204.0   4.5  -85.944  34.798 999.0 999.0  2552.4  1.0  1.0  1.0  1.0  1.0 99.0
 541.0  749.8   9.0   2.9  65.2    9.5   21.4  23.4 204.0   4.6  -85.944  34.799 999.0 999.0  2575.1  1.0  1.0  1.0  1.0  1.0 99.0
 546.0  747.7   8.9   2.6  64.3    9.4   21.2  23.2 204.0   4.5  -85.943  34.800 999.0 999.0  2597.7  1.0  1.0  1.0  1.0  1.0 99.0
 551.0  745.6   8.8   2.3  63.1    9.0   21.3  23.1 203.0   4.5  -85.943  34.801 999.0 999.0  2620.4  1.0  1.0  1.0  1.0  1.0 99.0
 556.0  743.6   8.8   1.9  61.3    9.0   21.3  23.1 203.0   4.5  -85.942  34.802 999.0 999.0  2642.9  1.0  1.0  1.0  1.0  1.0 99.0
 561.0  741.6   8.8   1.5  60.0    9.1   21.4  23.2 203.0   4.6  -85.942  34.802 999.0 999.0  2665.7  1.0  1.0  1.0  1.0  1.0 99.0
 566.0  739.5   8.7   1.2  58.9    8.7   21.4  23.1 202.0   4.6  -85.941  34.803 999.0 999.0  2688.9  1.0  1.0  1.0  1.0  1.0 99.0
 571.0  737.4   8.6   0.8  57.8    8.7   21.6  23.3 202.0   4.7  -85.941  34.804 999.0 999.0  2712.3  1.0  1.0  1.0  1.0  1.0 99.0
 576.0  735.3   8.4   0.7  57.9    8.8   21.7  23.4 202.0   4.7  -85.940  34.805 999.0 999.0  2735.9  1.0  1.0  1.0  1.0  1.0 99.0
 581.0  733.1   8.3  -0.3  54.0    8.7   21.4  23.1 202.0   4.8  -85.940  34.806 999.0 999.0  2759.9  1.0  1.0  1.0  1.0  1.0 99.0
 586.0  731.0   8.3  -1.2  51.0    8.3   21.7  23.2 201.0   4.9  -85.939  34.807 999.0 999.0  2784.2  1.0  1.0  1.0  1.0  1.0 99.0
 591.0  728.8   8.1  -1.7  49.8    8.3   21.8  23.3 201.0   4.9  -85.939  34.808 999.0 999.0  2808.9  1.0  1.0  1.0  1.0  1.0 99.0
 596.0  726.6   8.1  -3.4  43.6    8.3   21.7  23.2 201.0   5.0  -85.938  34.809 999.0 999.0  2833.6  1.0  1.0  1.0  1.0  1.0 99.0
 601.0  724.5   8.1  -4.3  40.9    8.8   21.7  23.4 202.0   4.9  -85.938  34.810 999.0 999.0  2858.0  1.0  1.0  1.0  1.0  1.0 99.0
 606.0  722.3   7.9  -3.7  43.3    8.7   21.5  23.2 202.0   4.9  -85.938  34.811 999.0 999.0  2882.5  1.0  1.0  1.0  1.0  1.0 99.0
 611.0  720.1   7.6  -1.3  53.0    9.1   21.5  23.4 203.0   4.9  -85.937  34.812 999.0 999.0  2907.2  1.0  1.0  1.0  1.0  1.0 99.0
 616.0  717.9   7.4   0.5  61.3    9.1   21.4  23.2 203.0   5.1  -85.937  34.813 999.0 999.0  2932.6  1.0  1.0  1.0  1.0  1.0 99.0
 621.0  715.6   7.1   0.8  64.0    9.4   21.2  23.2 204.0   5.2  -85.936  34.814 999.0 999.0  2958.7  1.0  1.0  1.0  1.0  1.0 99.0
 626.0  713.3   6.8   1.2  67.0    9.4   21.2  23.2 204.0   5.3  -85.936  34.815 999.0 999.0  2985.2  1.0  1.0  1.0  1.0  1.0 99.0
 631.0  711.0   6.5   1.5  69.8    9.8   21.0  23.2 205.0   5.4  -85.935  34.816 999.0 999.0  3012.1  1.0  1.0  1.0  1.0  1.0 99.0
 636.0  708.6   6.2   1.7  72.3    9.8   21.1  23.3 205.0   5.4  -85.934  34.817 999.0 999.0  3039.1  1.0  1.0  1.0  1.0  1.0 99.0
 641.0  706.3   6.0   2.0  75.3   10.2   20.9  23.2 206.0   5.5  -85.934  34.818 999.0 999.0  3066.4  1.0  1.0  1.0  1.0  1.0 99.0
 646.0  703.9   5.8   2.2  77.6   10.2   20.9  23.2 206.0   5.5  -85.933  34.819 999.0 999.0  3093.7  1.0  1.0  1.0  1.0  1.0 99.0
 651.0  701.6   5.6   2.7  81.6   10.5   20.6  23.1 207.0   5.4  -85.933  34.820 999.0 999.0  3120.9  1.0  1.0  1.0  1.0  1.0 99.0
 656.0  699.3   5.3   2.4  81.4   10.4   20.5  23.0 207.0   5.3  -85.932  34.821 999.0 999.0  3147.6  1.0  1.0  1.0  1.0  1.0 99.0
 661.0  697.0   5.1   2.4  82.4   10.4   20.3  22.8 207.0   5.3  -85.932  34.822 999.0 999.0  3174.2  1.0  1.0  1.0  1.0  1.0 99.0
 666.0  694.8   4.9   2.2  82.3   10.4   20.4  22.9 207.0   5.3  -85.931  34.823 999.0 999.0  3200.5  1.0  1.0  1.0  1.0  1.0 99.0
 671.0  692.6   4.8   1.6  79.9   10.3   20.1  22.6 207.0   5.2  -85.930  34.824 999.0 999.0  3226.3  1.0  1.0  1.0  1.0  1.0 99.0
 676.0  690.4   4.6   1.3  78.9   10.3   20.2  22.7 207.0   5.2  -85.930  34.824 999.0 999.0  3252.2  1.0  1.0  1.0  1.0  1.0 99.0
 681.0  688.2   4.5   0.6  75.2   10.3   20.2  22.7 207.0   5.1  -85.929  34.825 999.0 999.0  3277.6  1.0  1.0  1.0  1.0  1.0 99.0
 686.0  686.1   4.4   0.3  74.5    9.9   20.3  22.6 206.0   5.1  -85.929  34.826 999.0 999.0  3303.1  1.0  1.0  1.0  1.0  1.0 99.0
 691.0  683.9   4.3  -0.1  72.8    9.6   20.5  22.6 205.0   5.1  -85.928  34.827 999.0 999.0  3328.7  1.0  1.0  1.0  1.0  1.0 99.0
 696.0  681.7   4.2  -0.4  72.0    9.5   20.4  22.5 205.0   5.2  -85.928  34.828 999.0 999.0  3354.6  1.0  1.0  1.0  1.0  1.0 99.0
 701.0  679.5   4.0  -0.8  71.0    9.5   20.3  22.4 205.0   5.2  -85.927  34.829 999.0 999.0  3380.6  1.0  1.0  1.0  1.0  1.0 99.0
 706.0  677.3   3.8  -0.8  71.8    9.4   20.2  22.3 205.0   5.3  -85.927  34.830 999.0 999.0  3407.0  1.0  1.0  1.0  1.0  1.0 99.0
 711.0  675.1   3.7  -0.9  71.5    9.4   20.2  22.3 205.0   5.3  -85.926  34.831 999.0 999.0  3433.5  1.0  1.0  1.0  1.0  1.0 99.0
 716.0  672.9   3.8  -3.0  60.5    8.9   20.1  22.0 204.0   5.3  -85.926  34.832 999.0 999.0  3460.2  1.0  1.0  1.0  1.0  1.0 99.0
 721.0  670.7   3.9  -4.3  54.7    8.9   19.9  21.8 204.0   5.3  -85.925  34.833 999.0 999.0  3486.9  1.0  1.0  1.0  1.0  1.0 99.0
 726.0  668.5   3.6  -4.7  54.1    8.8   19.8  21.7 204.0   5.4  -85.925  34.834 999.0 999.0  3513.8  1.0  1.0  1.0  1.0  1.0 99.0
